Fotograma,tipo_objeto,confianza,ID,x1,y1,x2,y2,Matricula,Confianza,mx1,my1,mx2,my2,texto_matricula
1,bus,0.94,1,1402,52,1918,476,Si,0,0,0,0,0,???
1,car,0.85,2,1321,312,1398,371,Si,0,0,0,0,0,???
2,bus,0.94,1,1402,57,1918,470,Si,0,0,0,0,0,???
2,car,0.82,2,1321,312,1396,371,Si,0,0,0,0,0,???
3,bus,0.94,1,1393,65,1918,466,Si,0,0,0,0,0,???
3,car,0.82,2,1320,312,1395,371,Si,0,0,0,0,0,???
4,bus,0.9,1,1388,67,1918,467,Si,0,0,0,0,0,???
4,car,0.84,2,1317,311,1395,371,Si,0,0,0,0,0,???
5,bus,0.23,1,1392,73,1918,464,Si,0.23,0,0,0,0,???
5,car,0.82,2,1316,312,1394,371,Si,0,0,0,0,0,???
6,bus,0.94,1,1394,76,1918,461,Si,0,0,0,0,0,???
6,car,0.81,2,1317,312,1391,370,Si,0,0,0,0,0,???
7,bus,0.13,1,1391,79,1918,461,Si,0.13,0,0,0,0,???
7,car,0.8,2,1316,312,1390,370,Si,0,0,0,0,0,???
8,bus,0.13,1,1388,84,1918,458,Si,0.13,0,0,0,0,???
8,car,0.79,2,1314,312,1389,369,Si,0,0,0,0,0,???
9,bus,0.94,1,1385,88,1918,457,Si,0,0,0,0,0,???
9,car,0.79,2,1313,312,1387,368,Si,0,0,0,0,0,???
10,bus,0.12,1,1383,92,1918,457,Si,0.12,0,0,0,0,???
10,car,0.81,2,1311,312,1386,368,Si,0,0,0,0,0,???
11,bus,0.37,1,1382,95,1918,456,Si,0.37,0,0,0,0,322
11,car,0.81,2,1309,312,1386,368,Si,0,0,0,0,0,???
12,bus,0.11,1,1383,96,1918,456,Si,0.23,0,0,0,0,32887
12,car,0.79,2,1309,312,1384,368,Si,0,0,0,0,0,???
13,bus,0.14,1,1382,101,1914,452,Si,0.14,0,0,0,0,???
13,car,0.79,2,1309,312,1382,368,Si,0,0,0,0,0,???
14,bus,0.13,1,1382,104,1896,451,Si,0.31,0,0,0,0,232223
14,car,0.8,2,1309,312,1380,368,Si,0,0,0,0,0,???
15,bus,0.11,1,1380,107,1883,451,Si,0.33,0,0,0,0,490
15,car,0.78,2,1309,312,1378,368,Si,0,0,0,0,0,???
16,bus,0.24,1,1377,111,1865,450,Si,0.32,0,0,0,0,2232
16,car,0.78,2,1309,313,1375,367,Si,0,0,0,0,0,???
17,bus,0.11,1,1376,114,1866,449,Si,0.11,0,0,0,0,???
17,car,0.79,2,1309,313,1374,367,Si,0,0,0,0,0,???
18,bus,0.13,1,1377,117,1857,451,Si,0.18,0,0,0,0,73
18,car,0.78,2,1309,313,1373,366,Si,0,0,0,0,0,???
19,bus,0.48,1,1375,121,1834,448,Si,0.48,0,0,0,0,242
19,car,0.77,2,1308,314,1372,367,Si,0,0,0,0,0,???
20,bus,0.13,1,1374,126,1822,446,Si,0.43,0,0,0,0,21228
