epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8752,1.33564,3.0432,1.16904,0.00339,0.66667,0.22837,0.10518,1.21965,3.48579,0.95699,0.000651852,0.000651852,0.000651852
2,50.804,1.41059,2.13102,1.19311,0.45154,0.17778,0.21232,0.12469,1.3534,2.94427,1.0293,0.00128589,0.00128589,0.00128589
3,75.309,1.48267,2.12133,1.20197,0.73079,0.54444,0.58186,0.3423,1.54386,2.21622,1.12592,0.00188692,0.00188692,0.00188692
4,99.6589,1.53838,1.88325,1.24159,0.58544,0.42222,0.37223,0.19522,1.65579,2.55906,1.22443,0.0018515,0.0018515,0.0018515
5,124.393,1.48873,1.96858,1.22882,0.6602,0.47497,0.52731,0.28091,1.60179,2.32783,1.17876,0.001802,0.001802,0.001802
6,150.507,1.5854,1.89435,1.23055,0.65713,0.52222,0.55866,0.31679,1.47632,2.32883,1.1068,0.0017525,0.0017525,0.0017525
7,175.248,1.52594,1.87236,1.28243,0.66981,0.57778,0.56865,0.33762,1.44607,2.09168,1.12623,0.001703,0.001703,0.001703
8,199.813,1.48693,1.78786,1.22579,0.75907,0.6,0.66983,0.38468,1.39882,2.32881,1.16768,0.0016535,0.0016535,0.0016535
9,224.42,1.41545,1.6916,1.18622,0.75487,0.54444,0.59119,0.3616,1.33615,1.88705,1.13237,0.001604,0.001604,0.001604
10,249.017,1.43922,1.56893,1.19936,0.71325,0.46667,0.52413,0.31585,1.50951,1.97592,1.23037,0.0015545,0.0015545,0.0015545
11,273.502,1.44602,1.52547,1.20557,0.7786,0.62523,0.72282,0.42573,1.38894,1.63592,1.10786,0.001505,0.001505,0.001505
12,303.212,1.38664,1.40756,1.18538,0.84874,0.64444,0.73015,0.4491,1.31436,1.47927,1.07488,0.0014555,0.0014555,0.0014555
13,329.707,1.33646,1.49828,1.17191,0.80234,0.65556,0.72141,0.43455,1.31981,1.48073,1.07154,0.001406,0.001406,0.001406
14,355.938,1.3955,1.50402,1.19011,0.79213,0.67778,0.70466,0.41586,1.3736,1.52292,1.04846,0.0013565,0.0013565,0.0013565
15,381.505,1.3417,1.36052,1.16276,0.75078,0.66948,0.67714,0.41213,1.36562,1.60876,1.0764,0.001307,0.001307,0.001307
16,407.92,1.32428,1.28015,1.16723,0.8125,0.62594,0.68755,0.40003,1.3819,1.55708,1.08317,0.0012575,0.0012575,0.0012575
17,433.828,1.28888,1.24169,1.14152,0.85049,0.63207,0.71657,0.43177,1.34337,1.38605,1.07366,0.001208,0.001208,0.001208
18,463.623,1.26317,1.26484,1.11131,0.83477,0.74444,0.80528,0.48933,1.30453,1.21063,1.05434,0.0011585,0.0011585,0.0011585
19,492.146,1.31028,1.27559,1.14756,0.81274,0.72222,0.8044,0.47296,1.33704,1.26705,1.05458,0.001109,0.001109,0.001109
